"word","syllables"
"alliteration",5
"allocate",3
"allocation",4
"allot",2
"allow",2
"alloy",2
"allspice",2
"allude",2
"allure",2
"alluvium",4
"ally",2
"almanac",3
"almighty",3
"almond",2
"almoner",3
"almost",2
"alms",1
"aloe",2
"aloft",2
"aloha",3
"alone",2
"along",2
"alongshore",3
"alongside",3
"aloof",2
"aloud",2
"alp",1
"alpaca",3
"alpenhorn",3
"alpenstock",3
"alphabet",3
"alphabetic",4
"alphabetize",4
"alphorn",2
"alpine",2
"already",3
"also",2
"altar",2
"alter",2
"alteration",4
"altercation",4
"alternate",3
"alternation",4
"alternative",4
"altho",2
"altimeter",4
"altitude",3
"alto",2
"altogether",4
"altruism",4
"altruistic",4
"alum",2
"alumina",4
"aluminium",5
"aluminum",4
"alumna",3
"alumnus",3
"always",2
"am",1
"amah",2
"amain",2
"amalgam",3
"amalgamate",4
"amanuensis",5
"amaranth",3
"amaranthine",4
"amaryllis",4
"amass",2
"amateur",3
"amateurish",4
"amateurism",5
"amatory",4
"amaze",2
"amazon",3
"amazonian",5
"ambassador",4
"amber",2
"ambergris",3
"ambidextrous",4
"ambient",3
"ambiguity",5
"ambiguous",4
"ambition",3
"ambitious",3
"ambivalence",4
"amble",2
"ambrosia",4
"ambulance",3
"ambulatory",5
"ambuscade",3
"ambush",2
"ameliorate",4
"amen",2
"amenable",4
"amend",2
"amendment",3
"amends",2
"amenity",4
"amerce",2
"american",4
"americanization",7
"americanize",5
"americium",5
"amethyst",3
"amiability",6
"amiable",4
"amiably",4
"amicable",4
"amid",2
"amiss",2
"amity",3
"ammeter",3
"ammo",2
"ammonia",3
"ammonite",3
"ammunition",4
"amnesia",3
"amnesty",3
"amoeba",3
"amok",2
"among",2
"amontillado",5
"amoral",3
"amorous",3
"amorphous",3
"amortization",5
"amortize",3
"amount",2
"amour",2
"ampere",2
"ampersand",3
"amphibian",4
"amphitheater",5
"amphora",3
"ample",2
"amplification",5
"amplifier",4
"amplify",3
"amplitude",3
"ampoule",2
"amputate",3
"amputation",4
"amputee",3
"amulet",3
"amuse",2
"an",1
"anachronism",5
"anachronistic",5
"anaconda",4
"anadem",3
"anaerobic",4
"anagram",3
"anal",2
"analgesia",4
"analog",3
"analogical",5
"analogous",4
"analysis",4
"analyst",3
"analytic",4
"analyze",3
"anapest",3
"anapestic",4
"anarchic",3
"anarchism",4
"anarchistic",4
"anarchy",3
"anathema",4
"anatomic",4
"anatomist",4
"anatomize",4
"anatomy",4
"ancestor",3
"ancestral",3
"anchor",2
"anchorage",3
"anchorite",3
"anchovy",3
"ancient",2
"ancillary",4
"and",1
"andante",3
"andiron",3
"androgen",3
"anecdote",3
"anemia",4
"anemometer",5
"anemone",4
"anent",2
"anesthesia",4
"anesthetist",4
"anew",2
"angel",2
"angelic",3
"anger",2
"angina",3
"angle",2
"angleworm",3
"anglican",3
"anglicization",5
"anglicize",3
"anglophile",3
"angora",3
"angry",2
"angst",1
"anguish",2
"angular",3
"angularity",5
"anhydrous",3
"aniline",3
"animadvert",4
"animal",3
"animalcule",4
"animalism",5
"animate",3
"animation",4
"animism",4
"animistic",4
"animosity",5
"animus",3
"anise",2
"ankh",1
"ankle",2
"anklet",2
"annals",2
"anneal",2
"annex",2
"annexation",4
"annihilate",4
"anniversary",5
"annotate",3
"annotation",4
"annotator",4
"announce",2
"annoy",2
"annual",3
"annuitant",4
"annuity",4
"annul",2
"annular",3
"annunciate",4
"annunciation",5
"anode",2
"anodic",3
"anodyne",3
"anoint",2
"anomalous",4
"anomaly",4
"anon",2
"anonymity",5
"anonymous",4
"anonymously",5
"anopheles",4
"another",3
"answer",2
"answerable",4
"ant",1
"antacid",3
"antagonism",5
"antagonist",4
"antarctic",3
"ante",2
"antebellum",4
"antecedent",4
"antechamber",4
"antediluvian",6
"antelope",3
"antenna",3
"antepenult",4
"anterior",4
"anteroom",3
"anthem",2
"anther",2
"anthill",2
"anthology",4
"anthracite",3
"anthrax",2
"anthropocentric",5
"anthropoid",3
"anthropology",5
"anthropomorphism",6
"anti",2
"antibiotic",5
"antibody",4
"antic",2
"antichrist",3
"anticipate",4
"anticlimax",4
"antidote",3
"antihistamine",5
"antiknock",3
"antilogarithm",6
"antimacassar",5
"antimony",4
"antipasto",4
"antipathy",4
"antipersonnel",5
"antiphonal",4
"antipodes",4
"antiquarian",5
"antiquary",4
"antiquated",4
"antique",2
"antiquity",4
"antiseptic",4
"antisocial",4
"antithesis",4
"antitoxin",4
"antivivisectionist",7
"antler",2
"antonym",3
"antrum",2
"anus",2
"anvil",2
"anxiety",4
"anxious",2
"any",2
"anymore",3
"anyone",3
"anyway",3
"aorta",3
"apace",2
"apart",2
"apartheid",3
"apartment",3
"apathetic",4
"apathy",3
"ape",1
"apeak",2
"aperitif",4
"aperture",3
"apex",2
"aphasia",4
"aphid",2
"aphides",3
"aphis",2
"aphorism",4
"aphoristic",4
"aphrodisiac",5
"apiary",4
"apices",3
"apiece",2
"aplomb",2
"apocalypse",4
"apocrypha",4
"apogee",3
"apologetic",5
"apologia",5
"apologize",4
"apoplectic",4
"apoplexy",4
"aport",2
"apostasy",4
"apostate",3
"apostle",3
"apostolic",4
"apostrophe",4
"apothecary",5
"apothegm",3
"apotheosis",5
"appal",2
"appanage",3
"apparatus",4
"apparel",3
"apparent",3
"apparition",4
"appeal",2
"appear",2
"appearance",3
"appease",2
"appellant",3
"appellate",3
"appellation",4
"appellee",3
"append",2
"appendage",3
"appendectomy",5
"appendicitis",5
"appendix",3
"appertain",3
"appetite",3
"appetizer",4
"applaud",2
"applause",2
"apple",2
"appliance",3
"applicability",6
"applicable",4
"applicant",3
"application",4
"applicator",4
"applied",2
"applique",3
"apply",2
"appoint",2
"appointee",3
"appointive",3
"appointment",3
"apportion",3
"apposite",3
"apposition",4
"appositive",4
"appraise",2
"appreciable",4
"appreciate",4
"appreciative",4
"apprehend",3
"apprehensive",4
"apprentice",3
"apprize",2
"approach",2
"approbation",4
"appropriate",4
"appropriation",5
"approval",3
"approve",2
"approximate",4
"approximation",5
"appurtenance",4
"apricot",3
"april",2
"apron",2
"apropos",3
"apse",1
"apt",1
"aptitude",3
"aquacade",3
"aqualung",3
"aquamarine",4
"aquaplane",3
"aquarium",4
"aquarius",4
"aquatic",3
"aqueduct",3
"aqueous",3
"aquiline",3
"arab",2
"arabesque",3
"arabian",4
"arabic",3
"arable",3
"arbalist",3
"arbiter",3
"arbitrament",4
"arbitrarily",5
"arbitrariness",5
"arbitrary",4
"arbitrate",3
"arbitration",4
"arbitrator",4
"arbor",2
"arboreal",4
"arboretum",4
"arborvitae",4
"arbutus",3
"arc",1
"arcade",2
"arcane",2
"arch",1
"archaeology",5
"archaic",3
"archangel",3
"archbishop",3
"archduke",2
"archenemy",4
"archer",2
"archery",3
"archetype",3
"archfiend",2
"archiepiscopal",6
"archimandrite",4
"archipelago",5
"architect",3
"architectonic",5
"architectural",5
"architecture",4
"architrave",3
"archive",2
"archivist",3
"archon",2
"archway",2
"arctic",2
"ardent",2
"ardor",2
"arduous",3
"are",1
"area",3
"arena",3
"argent",2
"argentine",3
"argon",2
"argosy",3
"argot",2
"arguable",4
"argue",2
"argumentation",5
"argumentative",5
"argyle",2
"aria",3
"arid",2
"aridity",4
"aries",3
"aright",2
"arise",2
"aristocracy",5
"aristocrat",4
"aristocratic",5
"arithmetic",4
"arithmetical",5
"arithmetician",5
"ark",1
"arm",1
"armada",3
"armadillo",4
"armageddon",4
"armament",3
"armature",3
"armchair",2
"armhole",2
"armistice",3
"armlet",2
"armor",2
"armorial",4
"armory",3
"armpit",2
"army",2
"arnica",3
"aroma",3
"aromatic",4
"around",2
"arouse",2
"arpeggio",3
"arraign",2
"arrange",2
"arrant",2
"arras",2
"array",2
"arrears",2
"arrest",2
"arrival",3
"arrogant",3
"arrogate",3
"arrow",2
"arroyo",3
"arsenal",2
"arsenic",2
"arsenical",4
"arsenious",4
"arson",2
"art",1
"artefact",3
"arterial",4
"arteriosclerosis",7
"artery",3
"artful",2
"arthritis",3
"arthropod",3
"artichoke",3
"article",3
"articular",4
"articulate",4
"articulation",5
"artifice",3
"artificer",4
"artificial",4
"artillery",4
"artisan",3
"artist",2
"artiste",2
"artistic",3
"artistry",3
"artless",2
"arty",2
"arum",2
"aryan",3
"as",1
"asafoetida",5
"asbestus",3
"ascend",2
"ascendency",4
"ascendent",3
"ascension",3
"ascent",2
"ascertain",3
"ascetic",3
"ascribe",2
"aseptic",3
"asexual",4
"ash",1
"ashamed",2
"ashen",2
"ashlar",2
"ashore",2
"ashy",2
"asian",2
"aside",2
"asinine",3
"asininity",5
"ask",1
"askance",2
"askew",2
"aslant",2
"asleep",2
"asp",1
"asparagus",4
"aspect",2
"aspen",2
"asperity",4
"aspersion",3
"asphalt",2
"asphodel",3
"asphyxiate",4
"aspic",2
"aspirant",3
"aspiration",4
"aspire",2
"aspirin",3
"ass",1
"assail",2
"assassin",3
"assault",2
"assay",2
"assemblage",3
"assemble",3
"assembly",3
"assent",2
"assert",2
"assertion",3
"assess",2
"asset",2
"asseverate",4
"assiduity",5
"assiduous",4
"assiduously",5
"assign",2
"assignation",4
"assignment",3
"assimilate",4
"assist",2
"assistant",3
"assize",2
"associate",4
"association",5
"associative",5
"assonance",3
"assort",2
"assuage",2
"assume",2
"assumption",3
"assurance",3
"assure",2
"assured",2
"astatine",3
"aster",2
"asterisk",3
"astern",2
"asteroid",3
"asthma",2
"asthmatic",3
"astigmatism",5
"astir",2
"astonish",3
"astound",2
"astraddle",3
"astrakhan",3
"astral",2
"astray",2
"astride",2
"astringent",3
"astrolabe",3
"astrological",5
"astrology",4
"astronaut",3
"astronautical",5
"astronomical",5
"astronomy",4
"astrophysics",4
"astute",2
"asunder",3
"asylum",3
"asymmetric",4
"at",1
"atavism",4
"atavistic",4
"ate",1
"atelier",3
"atheism",4
"atheist",3
"atheistic",4
"atheneum",4
"athirst",2
"athlete",2
"athletic",3
"athwart",2
"atilt",2
"atlas",2
"atmosphere",3
"atmospheric",4
"atoll",2
"atom",2
"atomic",3
"atomics",3
"atomize",3
"atonal",3
"atonality",5
"atonally",4
"atone",2
"atop",2
"atrium",3
"atrocious",3
"atrocity",4
"atrophy",3
"atropine",3
"attach",2
"attache",3
"attachment",3
"attack",2
"attain",2
"attainability",6
"attainder",3
"attainment",3
"attaint",2
"attar",2
"attempt",2
"attend",2
"attendance",3
"attention",3
"attenuate",4
"attenuation",5
"attest",2
"attestation",4
"attic",2
"attire",2
"attitude",3
"attitudinize",5
"attorney",3
"attract",2
"attraction",3
"attributable",5
"attribute",3
"attribution",4
"attributive",4
"attrition",3
"attune",2
"atypical",4
"auburn",2
"auction",2
"auctioneer",3
"auctorial",4
"audacious",3
"audacity",4
"audibility",5
"audible",3
"audibly",3
"audience",3
"audio",3
"audiophile",4
"audiovisual",6
"audit",2
"audition",3
"auditor",3
"auditorium",5
"auditory",4
"auger",2
"aught",1
"augment",2
"augmentation",4
"augur",2
"augury",3
"august",2
"auk",1
"auld",1
"aunt",1
"aura",2
"aural",2
"aurar",2
"aureate",3
"aureole",3
"auricle",3
"auricular",4
"auriferous",4
"aurora",3
"auspice",2
"auspicious",3
"austere",2
"austerity",4
"austral",2
"australian",3
"austrian",3
"authentic",3
"authenticate",4
"authenticity",5
"author",2
"authoritarian",6
"authoritative",5
"authority",4
"authorization",5
"authorize",3
"authorship",3
"auto",2
"autobahn",3
"autobiography",6
"autochthonous",4
"autocracy",4
"autocrat",3
"autocratic",4
"autograph",3
"autointoxication",7
"automate",3
"automatic",4
"automation",4
"automatize",4
"automaton",4
"automobile",4
"automotive",4
"autonomous",4
"autopsy",3
"autumn",2
"autumnal",3
"auxiliary",4
"auxin",2
"avail",2
"available",4
"avalanche",3
"avarice",3
"avaricious",4
"avast",2
"avatar",3
"avaunt",2
"ave",2
"avenge",2
"avenue",3
"aver",2
"average",3
"averment",3
"averse",2
"aversion",3
"avert",2
"avian",3
"aviary",4
"aviation",4
"aviator",4
"aviatrix",4
"avid",2
"avidity",4
"avidly",3
"avionics",4
"avitaminosis",6
"avocado",4
"avocation",4
"avoid",2
"avoirdupois",4
"avouch",2
"avow",2
"avuncular",4
"await",2
"awake",2
"awaken",3
"award",2
"aware",2
"awash",2
"awe",1
"aweary",3
"aweigh",2
"awesome",2
"awestricken",3
"awful",2
"awhile",2
"awhirl",2
"awkward",2
"awl",1
"awn",1
"awning",2
"awol",2
"awry",2
"axe",1
"axial",3
"axiom",3
"axiomatic",5
"axis",2
"axle",2
"ay",1
"ayah",2
"aye",1
"azalea",3
"azimuth",3
"aztec",2
"azure",2
"babble",2
"babe",1
"babel",2
"baboon",2
"babushka",3
"baby",2
"baccalaureate",5
"bacchanalia",4
"bachelor",3
"bacillary",4
"bacillus",3
"back",1
"backfield",2
"backgammon",3
"backrest",2
"backside",2
"backspin",2
"backwash",2
"bacon",2
"bacteriology",6
"bacterium",4
"bad",1
"bade",1
"badge",1
"badger",2
"badinage",3
"badminton",3
"baffle",2
"bag",1
"bagasse",2
"bagatelle",3
"bagel",2
"baggage",2
"baggy",2
"bagnio",2
"bagpipe",2
"baht",1
"bail",1
"bailiff",2
"bailiwick",3
"bailsman",2
"bairn",1
"bait",1
"baize",1
"bake",1
"bakery",3
"baksheesh",2
"balance",2
"balboa",3
"balbriggan",3
"balcony",3
"bald",1
"baldachin",3
"baldachino",4
"balderdash",3
"baldric",2
"bale",1
"baleen",2
"baleful",2
"balk",1
"ball",1
"ballad",2
"ballast",2
"ballcarrier",4
"ballerina",4
"ballet",2
"ballistic",3
"balloon",2
"ballot",2
"ballroom",2
"ballyhoo",3
"balm",1
"balsa",2
"balsam",2
"baluster",3
"bamboo",2
"bamboozle",3
"ban",1
"banal",2
"banality",4
"banana",3
"band",1
"bandage",2
"bandana",3
"bandbox",2
"banderol",3
"bandit",2
"banditry",3
"banditti",3
"bandoleer",3
"bandstand",2
"bandwagon",3
"bandy",2
"bane",1
"bang",1
"bangle",2
"bani",2
"banish",2
"banister",3
"banjo",2
"bank",1
"bankroll",2
"bankrupt",2
"banner",2
"bannock",2
"banns",1
"banquet",2
"banquette",2
"banshee",2
"bantam",2
"banter",2
"bantling",2
"bantu",2
"banyan",2
"baobab",2
"baptism",3
"baptismal",3
"baptist",2
"baptize",2
"bar",1
"barb",1
"barbarian",4
"barbaric",3
"barbarism",4
"barbarity",4
"barbarous",3
"barbecue",3
"barbed",1
"barbell",2
"barber",2
"barberry",3
"barbican",3
"barbiturate",4
"barcarolle",3
"bard",1
"bare",1
"bargain",2
"barge",1
"baritone",3
"barium",3
"bark",1
"barkeeper",3
"barker",2
"barley",2
"barn",1
"barnacle",3
"barnstorm",2
"barometer",4
"barometric",4
"baron",2
"baroness",3
"baronial",4
"barony",3
"baroque",2
"barouche",2
"barracks",2
"barracuda",4
"barrage",2
"barratry",3
"barred",1
"barrel",2
"barren",2
"barrette",2
"barricade",3
"barrier",3
"barrister",3
"barroom",2
"barrow",2
"bartender",3
"barter",2
"basal",2
"basalt",2
"basaltic",3
"base",1
"baseball",2
"bash",1
"bashful",2
"basic",2
"basil",2
"basilica",4
"basilisk",3
"basin",2
"basis",2
"bask",1
"basket",2
"basque",1
"bass",1
"bassinet",3
"basso",2
"bassoon",2
"basswood",2
"bast",1
"bastard",2
"baste",1
"bastinado",4
"bastion",2
"bat",1
"batch",1
"bate",1
"bath",1
"bathe",1
"bathetic",3
"bathhouse",2
"bathos",2
"baths",1
"batiste",2
"batman",2
"baton",2
"batrachian",4
"batsman",2
"battalion",3
"batteau",2
"batten",2
"batter",2
"battery",3
"batting",2
"battle",2
"bauble",2
"bauxite",2
"bawdy",2
"bawl",1
"bay",1
"bayberry",3
"bayonet",3
"bayou",2
"bazaar",2
"bazooka",3
"be",1
"beach",1
"beachhead",2
"beacon",2
"bead",1
"beadle",2
"beagle",2
"beak",1
"beaked",1
"beaker",2
"beam",1
"bean",1
"beanie",2
"bear",1
"beard",1
"bearing",2
"bearskin",2
"beast",1
"beat",1
"beaten",2
"beatific",4
"beatify",4
"beatnik",2
"beau",1
"beaujolais",3
"beauteous",3
"beautician",3
"beautiful",3
"beautify",3
"beauty",2
"beaux",1
"beaver",2
"becalm",2
"because",2
"beck",1
"beckon",2
"becloud",2
"become",2
"becoming",3
"bed",1
"bedaub",2
"bedeck",2
"bedevil",3
"bedew",2
"bedfellow",3
"bedizen",3
"bedlam",2
"bedouin",3
"bedraggled",3
"bedridden",3
"bee",1
"beech",1
"beechen",2
"beef",1
"beehive",2
"been",1
"beer",1
"beeswax",2
"beet",1
"beetle",2
"beeves",1
"befall",2
"befit",2
"befog",2
"before",2
"befoul",2
"befriend",2
"befuddle",3
"beg",1
"beget",2
"beggar",2
"begin",2
"begone",2
"begonia",3
"begrime",2
"begum",2
"behalf",2
"behave",2
"behavior",3
"behead",2
"behemoth",3
"behest",2
"behold",2
"beige",1
"being",2
"belabor",3
"belch",1
"beldame",2
"beleaguer",3
"belfry",2
"belgian",2
"belie",2
"belief",2
"believe",2
"belike",2
"bell",1
"belladonna",4
"bellboy",2
"belle",1
"bellhop",2
"bellicose",3
"bellicosity",5
"belligerency",5
"bellow",2
"bellwether",3
"belly",2
"belong",2
"belt",1
"belvedere",3
"bemire",2
"bemoan",2
"bench",1
"bend",1
"beneath",2
"benedict",3
"benediction",4
"benefactor",4
"benefice",3
"beneficence",4
"beneficial",4
"benefit",3
"benevolence",4
"benighted",3
"benign",2
"benison",3
"bent",1
"benumb",2
"benzene",2
"benzine",2
"benzoate",3
"benzoin",3
"benzol",2
"bequeath",2
"berber",2
"berceuse",2
"beret",2
"berg",1
"beriberi",4
"berkelium",3
"berry",2
"berserk",2
"berth",1
"beryl",2
"beryllium",4
"beseech",2
"beshrew",2
"besiege",2
"besmirch",1
"besom",2
"besotted",3
"best",1
"bestial",2
"bestiality",5
"bestir",2
"bet",1
"betake",2
"betel",2
"bethel",2
"bethink",2
"better",2
"betterment",3
"between",2
"bevel",2
"beverage",3
"bevy",2
"bewail",2
"bey",1
"beyond",2
"bezel",2
"bezoar",2
"bhang",1
"biannual",4
"bias",2
"bib",1
"bibelot",3
"bible",2
"biblical",3
"bibliography",5
"bibliophile",4
"bibulous",3
"bicameral",4
"biceps",2
"bichloride",3
"bicker",2
"bicuspid",3
"bicycle",3
"bid",1
"bidden",2
"bide",1
"biennial",4
"bier",1
"bifocals",3
"bifurcate",3
"bifurcation",4
"big",1
"bigamy",3
"bighorn",2
"bight",1
"bigot",2
"bigwig",2
"bike",1
"bikini",3
"bilateral",4
"bile",1
"bilge",1
"bilingual",3
"bilious",2
"bilk",1
"bill",1
"billet",2
"billfold",2
"billhead",2
"billiards",2
"billingsgate",3
"billion",2
"billow",2
"billy",2
"bimetallism",5
"bin",1
"binary",3
"binaural",3
"bind",1
"binge",1
"binnacle",3
"binocular",4
"binomial",4
"biochemistry",5
"biographical",5
"biography",4
"biological",5
"biologist",4
"biology",4
"biopsy",3
"biotin",3
